variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
dissic,Dissolved Inorganic Carbon Concentration,mon,Omon,61704.91,25303
zg,Geopotential Height,day,Eday,61150.11,26384
o2,Dissolved Oxygen Concentration,mon,Omon,61029.03,29108
huss,Near-Surface Specific Humidity,day,day,60046.55,262933
uas,Eastward Near-Surface Wind,day,day,59583.97,284392
vas,Northward Near-Surface Wind,day,day,59503.92,280398
rsds,Surface Downwelling Shortwave Radiation,day,day,59182.14,253453
ph,pH,mon,Omon,57308.88,21131
hur,Relative Humidity,mon,Amon,57164.57,289675
cl,Percentage Cloud Cover,mon,Amon,55238.73,60173
si,Total Dissolved Inorganic Silicon Concentration,mon,Omon,54137.68,16380
huss,Near-Surface Specific Humidity,3hrPt,3hr,53643.29,40198
ta,Air Temperature,day,Eday,52069.57,29832
talk,Total Alkalinity,mon,Omon,50900.05,20872
cl,Percentage Cloud Cover,day,CFday,50564.29,9084
chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,49746.38,22615
agessc,Sea Water Age Since Surface Contact,mon,Omon,49292.62,19057
thkcello,Ocean Model Cell Thickness,mon,Omon,48311.67,59885
tos,Sea Surface Temperature,mon,Omon,47995.26,1668564
clw,Mass Fraction of Cloud Liquid Water,day,CFday,47333.20,8496
pfull,Pressure at Model Full-Levels,day,CFday,41253.71,6684
bigthetao,Sea Water Conservative Temperature,mon,Omon,39936.52,72027
rlds,Surface Downwelling Longwave Radiation,day,day,39838.05,173361
tos,Sea Surface Temperature,3hrPt,3hr,39370.47,11656
ta,Air Temperature,mon,CFmon,37764.30,42614
ua,Eastward Wind,mon,AERmon,37449.15,28449
dissoc,Dissolved Organic Carbon Concentration,mon,Omon,35782.54,11480
obvfsq,Square of Brunt Vaisala Frequency in Sea Water,mon,Omon,35778.91,42959
va,Northward Wind,mon,AERmon,35167.53,25282
cli,Mass Fraction of Cloud Ice,mon,Amon,35092.80,34708
hus,Specific Humidity,mon,CFmon,34399.94,30420
masscello,Ocean Grid-Cell Mass per Area,mon,Omon,33935.94,78442
pr,Precipitation,mon,Amon,33252.99,3067748
dfe,Dissolved Iron Concentration,mon,Omon,32854.58,10073
clw,Mass Fraction of Cloud Liquid Water,mon,Amon,32624.23,39406
rlut,TOA Outgoing Longwave Radiation,day,day,32196.04,123626
nh4,Dissolved Ammonium Concentration,mon,Omon,31948.41,5354
co3,Carbonate Ion Concentration,mon,Omon,31174.99,9095
wap,Omega (=dp/dt),day,Eday,30265.59,10330
hfls,Surface Upward Latent Heat Flux,day,day,30030.23,109309
rlds,Surface Downwelling Longwave Radiation,3hr,3hr,29940.29,20486
tas,Near-Surface Air Temperature,mon,Amon,29574.29,3548343
psl,Sea Level Pressure,6hrPt,6hrPlevPt,29070.28,49486
zg,Geopotential Height,mon,AERmon,28881.93,32799
phyc,Phytoplankton Carbon Concentration,mon,Omon,28402.49,12734
hfss,Surface Upward Sensible Heat Flux,day,day,27875.76,100604
expc,Downward Flux of Particulate Organic Carbon,mon,Omon,26995.95,7417
o3,Mole Fraction of O3,mon,AERmon,26804.86,26453
hfss,Surface Upward Sensible Heat Flux,3hr,3hr,26265.08,15092
hfls,Surface Upward Latent Heat Flux,3hr,3hr,26219.80,16063
rsds,Surface Downwelling Shortwave Radiation,3hr,3hr,25259.69,28264
phalf,Pressure on Model Half-Levels,day,CFday,25064.69,5500
zooc,Zooplankton Carbon Concentration,mon,Omon,24600.84,11148
sfcwindmax,Daily Maximum Near-Surface Wind Speed,day,day,24134.50,97079
uas,Eastward Near-Surface Wind,3hr,E3hr,23953.80,14162
tas,Near-Surface Air Temperature,1hr,AERhr,23807.71,9471
ps,Surface Air Pressure,3hrPt,3hr,23560.16,18895
ta,Air Temperature,subhrPt,Esubhr,23299.81,2285
vas,Northward Near-Surface Wind,3hr,E3hr,22366.59,13150
pp,Primary Carbon Production by Phytoplankton,mon,Omon,21796.79,8714
sfcwind,Near-Surface Wind Speed,3hr,E3hr,21699.56,11481
hur,Relative Humidity,mon,CFmon,21188.71,16827
prc,Convective Precipitation,day,day,21125.79,148883
tnhus,Tendency of Specific Humidity,subhrPt,Esubhr,21014.64,1374
mrsol,Total Water Content of Soil Layer,day,Eday,20916.09,16492
hus,Specific Humidity,subhrPt,Esubhr,20772.34,1837
detoc,Detrital Organic Carbon Concentration,mon,Omon,19800.04,7549
wap,Omega (=dp/dt),subhrPt,Esubhr,19718.06,1346
tnt,Tendency of Air Temperature,subhrPt,Esubhr,19629.27,1324
va,Northward Wind,subhrPt,Esubhr,19623.03,1339
clt,Total Cloud Cover Percentage,day,day,19471.64,88744
mmrdust,Dust Aerosol Mass Mixing Ratio,mon,AERmon,19451.23,15102
rsdo,Downwelling Shortwave Radiation in Sea Water,mon,Omon,19019.29,6448
mmrss,Sea-Salt Aerosol Mass Mixing Ratio,mon,AERmon,18992.30,15110
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mon,Omon,18955.86,4482
ua,Eastward Wind,subhrPt,Esubhr,18511.46,1311
psl,Sea Level Pressure,6hr,6hrPlev,18024.01,48533
chldiat,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,mon,Omon,17963.43,3975
prsn,Snowfall Flux,day,day,17846.45,162452
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mon,Omon,17804.13,6946
rlus,Surface Upwelling Longwave Radiation,day,day,17643.99,67612
calc,Calcite Concentration,mon,Omon,17406.79,5516
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mon,Omon,17181.36,5980
mmrso4,Aerosol Sulfate Mass Mixing Ratio,mon,AERmon,16952.19,15707
rlus,Surface Upwelling Longwave Radiation,3hr,3hr,16796.51,11641
hursmin,Daily Minimum Near-Surface Relative Humidity,day,day,16728.58,68161
siconc,Sea-Ice Area Percentage (Ocean Grid),day,SIday,16605.78,120933
ua,Eastward Wind,3hr,E3hrPt,16215.77,7004
bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mon,Omon,16155.48,4386
ua,Eastward Wind,6hr,6hrPlevPt,16125.02,29172
va,Northward Wind,6hr,6hrPlevPt,16061.93,27983
mmrbc,Elemental Carbon Mass Mixing Ratio,mon,AERmon,15799.08,14239
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mon,Omon,15695.47,4750
expfe,Sinking Particulate Iron Flux,mon,Emon,15566.53,5170
o3,Mole Fraction of O3,mon,Amon,15471.12,26894
tnt,Tendency of Air Temperature,mon,CFmon,15378.55,5602
rsus,Surface Upwelling Shortwave Radiation,day,day,15284.67,52431
graz,Total Grazing of Phytoplankton by Zooplankton,mon,Omon,15095.14,5071
volcello,Ocean Grid-Cell Volume,mon,Omon,14872.73,9563
tdps,2m Dewpoint Temperature,day,Eday,14760.61,24347
zmeso,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,mon,Omon,14749.13,2846
zos,Sea Surface Height Above Geoid,mon,Omon,14567.88,504379
ps,Surface Air Pressure,day,CFday,13911.97,42281
sos,Sea Surface Salinity,day,Oday,13834.85,9233
zg500,Geopotential Height at 500hPa,day,AERday,13809.38,75324
phyfe,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mon,Omon,13771.86,4673
zmicro,Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,mon,Omon,13700.35,2696
pfull,Pressure at Model Full-Levels,6hr,6hrLev,13457.80,642
tnta,Tendency of Air Temperature Due to Advection,mon,CFmon,13141.72,4993
ta,Air Temperature,3hrPt,CF3hr,13098.94,2231
tossq,Square of Sea Surface Temperature,day,Oday,13040.18,23868
prc,Convective Precipitation,1hr,E1hr,12852.48,6560
chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,12835.19,2206
mc,Convective Mass Flux,day,CFday,12816.46,4075
physi,Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mon,Omon,12771.59,2516
hus,Specific Humidity,3hrPt,E3hrPt,12760.39,2171
so2,SO2 Volume Mixing Ratio,mon,AERmon,12446.68,9241
mrsll,Liquid Water Content of Soil Layer,day,Eday,12285.93,8997
tntr,Tendency of Air Temperature Due to Radiative Heating,mon,CFmon,12208.75,5507
tntmp,Tendency of Air Temperature Due to Model Physics,mon,CFmon,12144.61,5270
clt,Total Cloud Cover Percentage,3hr,3hr,11888.93,10123
rsus,Surface Upwelling Shortwave Radiation,3hr,3hr,11811.92,11759
psl,Sea Level Pressure,mon,Amon,11355.63,1495191
va,Northward Wind,3hr,E3hrPt,11334.27,4780
mmroa,Total Organic Aerosol Mass Mixing Ratio,mon,AERmon,11215.38,12117
tnhusa,Tendency of Specific Humidity Due to Advection,mon,CFmon,11190.95,4000
expsi,Sinking Particulate Silicon Flux,mon,Emon,11002.12,2465
co3satarag,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mon,Omon,10759.08,2395
wap,Omega (=dp/dt),6hr,6hrPlev,10595.42,2813
rsu,Upwelling Shortwave Radiation,mon,CFmon,10510.79,7811
hus,Specific Humidity,6hr,6hrPlev,10471.20,3761
hursmax,Daily Maximum Near-Surface Relative Humidity,day,day,10429.62,44763
omldamax,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,day,Oday,10200.06,21760
mc,Convective Mass Flux,mon,Amon,10185.65,10268
tntrl,Tendency of Air Temperature Due to Longwave Radiative Heating,mon,AERmon,9930.86,4451
rlu,Upwelling Longwave Radiation,mon,CFmon,9911.29,7331
sos,Sea Surface Salinity,mon,Omon,9865.51,404014
ts,Surface Temperature,mon,Amon,9865.28,966749
prc,Convective Precipitation,3hr,3hr,9845.17,13615
mrso,Total Soil Moisture Content,day,day,9736.59,85832
rlucs,Upwelling Clear-Sky Longwave Radiation,mon,CFmon,9598.44,7204
tnhusmp,Tendency of Specific Humidity Due to Model Physics,mon,CFmon,9592.95,4447
rsucs,Upwelling Clear-Sky Shortwave Radiation,mon,CFmon,9424.48,7203
uas,Eastward Near-Surface Wind,6hrPt,6hrPlevPt,9410.02,25564
hfds,Downward Heat Flux at Sea Water Surface,mon,Omon,9406.97,271980
ps,Surface Air Pressure,6hrPt,6hrLev,9293.82,15219
tnhus,Tendency of Specific Humidity,mon,CFmon,9262.56,3841
rld,Downwelling Longwave Radiation,mon,CFmon,9251.46,7688
va,Northward Wind,3hrPt,E3hrPt,9103.62,1021
ps,Surface Air Pressure,1hr,AERhr,9096.91,2597
ua,Eastward Wind,3hrPt,E3hrPt,9002.87,1011
rivo,River Discharge,day,Eday,8979.65,2999
opottemptend,Tendency of Sea Water Potential Temperature Expressed as Heat Content,mon,Emon,8885.80,1238
tsl,Temperature of Soil,day,Eday,8798.57,5413
mrro,Total Runoff,day,day,8732.70,78559
rsds,Surface Downwelling Shortwave Radiation,mon,Amon,8694.30,799244
rldcs,Downwelling Clear-Sky Longwave Radiation,mon,CFmon,8642.97,7081
mrsos,Moisture in Upper Portion of Soil Column,day,day,8615.58,75169
vas,Northward Near-Surface Wind,6hrPt,6hrPlevPt,8614.82,19473
rsd,Downwelling Shortwave Radiation,mon,CFmon,8579.25,8800
psl,Sea Level Pressure,3hr,E3hr,8526.83,6209
ta,Air Temperature,3hrPt,E3hrPt,8334.43,959
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,3hr,3hr,8297.39,4673
hfls,Surface Upward Latent Heat Flux,mon,Amon,8238.22,715151
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,mon,Omon,8218.83,285428
zhalf,Altitude of Model Half-Levels,3hrPt,CF3hr,8109.74,1602
zfull,Altitude of Model Full-Levels,3hrPt,CF3hr,8073.85,1618
prsn,Snowfall Flux,3hr,3hr,8067.61,15955
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,mon,Emon,7967.21,3394
siconc,Sea-Ice Area Percentage (Ocean Grid),mon,SImon,7885.51,939328
hfss,Surface Upward Sensible Heat Flux,mon,Amon,7875.53,682939
phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mon,Omon,7860.29,5741
wa,Upward Air Velocity,mon,AERmon,7742.87,6092
evspsbl,Evaporation Including Sublimation and Transpiration,mon,Amon,7726.06,681479
oh,OH Volume Mixing Ratio,mon,AERmon,7707.36,7555
dissicnat,Natural Dissolved Inorganic Carbon Concentration,mon,Omon,7697.21,2376
prw,Water Vapor Path,3hr,E3hr,7665.25,9203
tntscpbl,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,mon,CFmon,7560.15,4245
rsut,TOA Outgoing Shortwave Radiation,day,CFday,7381.33,15432
ta,Air Temperature,6hr,6hrPlevPt,7355.14,26785
rlut,TOA Outgoing Longwave Radiation,mon,Amon,7340.92,673394
sfo3,O3 Volume Mixing Ratio in Lowest Model Layer,1hr,AERhr,7276.52,2523
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,3hr,3hr,7198.07,6679
tas,Near-Surface Air Temperature,6hr,6hrPlev,7186.41,11535
rsut,TOA Outgoing Shortwave Radiation,mon,Amon,7180.17,618455
pr,Precipitation,6hr,6hrPlev,7155.70,7903
mrsfl,Frozen Water Content of Soil Layer,day,Eday,7113.56,5814
ppdiat,Net Primary Organic Carbon Production by Diatoms,mon,Emon,7080.67,1884
rsdcs,Downwelling Clear-Sky Shortwave Radiation,mon,CFmon,7033.55,5501
uas,Eastward Near-Surface Wind,3hr,3hr,6970.78,5724
tnhusscpbl,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,mon,CFmon,6854.46,4241
rsus,Surface Upwelling Shortwave Radiation,mon,Amon,6813.90,610669
tas,Near-Surface Air Temperature,3hr,3hr,6787.91,6892
tsl,Temperature of Soil,mon,Lmon,6748.19,127830
clisccp,ISCCP Cloud Area Percentage,mon,CFmon,6621.96,3530
rlds,Surface Downwelling Longwave Radiation,mon,Amon,6497.19,624773
chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,day,Oday,6425.19,1551
zg,Geopotential Height,6hr,6hrPlevPt,6299.89,17822
o2sat,Dissolved Oxygen Concentration at Saturation,mon,Omon,6274.66,4503
hus,Specific Humidity,subhrPt,CFsubhr,6265.31,1654
tntrs,Tendency of Air Temperature Due to Shortwave Radiative Heating,mon,AERmon,6241.76,3335
clt,Total Cloud Cover Percentage,mon,Amon,6197.66,869935
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,3hr,3hr,6141.23,5318
hus,Specific Humidity,3hr,E3hrPt,6130.07,1873
expcalc,Downward Flux of Calcite,mon,Emon,6104.13,2073
rlut,TOA Outgoing Longwave Radiation,3hr,E3hr,6071.00,6403
tasmax,Daily Maximum Near-Surface Air Temperature,mon,Amon,6051.30,859990
tauv,Surface Downward Northward Wind Stress,day,Eday,6041.65,17387
tauu,Surface Downward Eastward Wind Stress,day,Eday,6036.33,18256
clisccp,ISCCP Cloud Area Percentage,day,CFday,5992.69,4626
mrsos,Moisture in Upper Portion of Soil Column,3hrPt,3hr,5979.20,8859
cdnc,Cloud Liquid Droplet Number Concentration,mon,AERmon,5919.50,11049
osalttend,Tendency of Sea Water Salinity Expressed as Salt Content,mon,Emon,5861.40,811
vas,Northward Near-Surface Wind,3hr,3hr,5829.56,4748
wap,Omega (=dp/dt),3hrPt,E3hrPt,5821.51,447
rlus,Surface Upwelling Longwave Radiation,mon,Amon,5809.14,562534
tnhusc,Tendency of Specific Humidity Due to Convection,mon,CFmon,5806.90,5178
osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,mon,Emon,5742.52,772
dms,Dimethyl Sulphide (DMS) Mole Fraction,mon,AERmon,5741.14,5613
dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,mon,Omon,5730.43,2116
phyn,Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,mon,Omon,5700.79,4500
tasmin,Daily Minimum Near-Surface Air Temperature,mon,Amon,5694.70,807659
tntc,Tendency of Air Temperature Due to Convection,mon,CFmon,5676.52,4990
chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,mon,Omon,5630.48,3849
osaltpmdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,mon,Emon,5624.65,784
talknat,Natural Total Alkalinity,mon,Omon,5616.87,896
sithick,Sea Ice Thickness,day,SIday,5528.86,35781
huss,Near-Surface Specific Humidity,3hr,3hr,5515.25,3897
hurs,Near-Surface Relative Humidity,mon,Amon,5467.90,585759
osaltdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,mon,Emon,5461.60,791
o3prod,O3 Production Rate,mon,AERmon,5421.09,5339
ts,Surface Temperature,day,Eday,5369.71,15997
uas,Eastward Near-Surface Wind,mon,Amon,5343.05,516755
co2,Mole Fraction of CO2,mon,Amon,5331.89,13177
prw,Water Vapor Path,day,Eday,5238.27,12312
ps,Surface Air Pressure,mon,Amon,5229.15,492618
uas,Eastward Near-Surface Wind,6hr,6hrPlev,5175.85,6478
huss,Near-Surface Specific Humidity,mon,Amon,5168.46,553045
no2,NO2 Volume Mixing Ratio,mon,AERmon,5087.88,5198
ta,Air Temperature,3hr,E3hrPt,5082.61,2481
vas,Northward Near-Surface Wind,mon,Amon,5059.77,483651
fgco2,Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],mon,Omon,5048.53,64034
sfcwind,Near-Surface Wind Speed,mon,Amon,5028.60,466244
dmso,Mole Concentration of Dimethyl Sulphide in Sea Water,mon,Omon,5015.38,984
ta850,Air Temperature,day,Eday,4985.30,26824
ua,Eastward Wind,mon,Emon,4939.11,22238
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,day,CFday,4917.97,11242
hus,Specific Humidity,mon,Emon,4909.12,17073
clcalipso,CALIPSO Percentage Cloud Cover,day,CFday,4884.27,2129
tauuo,Sea Water Surface Downward X Stress,mon,Omon,4852.56,109837
mc,Convective Mass Flux,subhrPt,Esubhr,4842.82,1304
tas,Near-Surface Air Temperature,6hrPt,6hrPlevPt,4821.80,26629
zg,Geopotential Height,subhrPt,CFsubhr,4759.91,1144
o3loss,O3 Destruction Rate,mon,AERmon,4729.36,5390
no,NO Volume Mixing Ratio,mon,AERmon,4727.88,4672
siv,Y-Component of Sea-Ice Velocity,day,SIday,4711.33,30519
siu,X-Component of Sea-Ice Velocity,day,SIday,4710.19,31233
tauvo,Sea Water Surface Downward Y Stress,mon,Omon,4687.23,105058
ua,Eastward Wind,subhrPt,CFsubhr,4684.67,1205
rsu4co2,Upwelling Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,4643.98,2637
va,Northward Wind,subhrPt,CFsubhr,4626.54,1143
airmass,Vertically Integrated Mass Content of Air in Layer,mon,AERmon,4591.37,8227
mrro,Total Runoff,3hr,3hr,4575.43,10037
ch4,Mole Fraction of CH4,mon,AERmon,4547.10,5858
mrsol,Total Water Content of Soil Layer,mon,Emon,4529.18,122029
conccn,Aerosol Number Concentration,mon,Emon,4529.04,1279
lossch4,Monthly Loss of Atmospheric Methane,mon,AERmon,4503.14,5348
osaltpadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,mon,Emon,4443.39,634
opottemppmdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,mon,Emon,4433.55,734
cls,Percentage Cover of Stratiform Cloud,mon,CFmon,4419.94,3073
psl,Sea Level Pressure,6hr,6hrPlevPt,4413.94,13972
psl,Sea Level Pressure,3hrPt,CF3hr,4400.35,2083
co,CO Volume Mixing Ratio,mon,AERmon,4379.34,4853
expp,Sinking Particulate Organic Phosphorus Flux,mon,Emon,4377.63,438
tnhusa,Tendency of Specific Humidity Due to Advection,subhrPt,CFsubhr,4351.42,963
ta,Air Temperature,subhrPt,CFsubhr,4310.94,1086
clc,Convective Cloud Area Percentage,mon,CFmon,4304.10,2548
expn,Sinking Particulate Organic Nitrogen Flux,mon,Emon,4263.34,435
pon,Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mon,Omon,4253.27,3295
rlu4co2,Upwelling Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,4239.46,2638
phyp,Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mon,Omon,4193.88,2941
opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,mon,Emon,4175.60,420
wap,Omega (=dp/dt),mon,Emon,4167.81,6162
o3,Mole Fraction of O3,3hrPt,E3hrPt,4157.96,380
tntmp,Tendency of Air Temperature Due to Model Physics,subhrPt,CFsubhr,4150.56,994
dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,mon,Omon,4117.59,571
rsdt,TOA Incident Shortwave Radiation,mon,Amon,4113.25,574613
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,day,Eday,4107.21,1570
rsucs4co2,Upwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,4070.38,2598
cfc11,Mole Concentration of CFC11 in Sea Water,mon,Omon,4067.34,7883
rld4co2,Downwelling Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,4048.47,2657
sf6,Mole Concentration of SF6 in Sea Water,mon,Omon,4013.25,1622
cfc12,Mole Concentration of CFC12 in Sea Water,mon,Omon,3984.90,1594
tslsi,Surface Temperature Where Land or Sea Ice,3hrPt,3hr,3962.18,4499
rsut,TOA Outgoing Shortwave Radiation,3hr,E3hr,3957.27,6020
rlucs4co2,Upwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,3942.17,2588
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,day,CFday,3916.71,9615
prlsns,Stratiform Snowfall Flux,3hrPt,CF3hr,3888.56,766
no3,Dissolved Nitrate Concentration,yr,Oyr,3836.63,13953
wap,Omega (=dp/dt),subhrPt,CFsubhr,3825.11,914
pfull,Pressure at Model Full-Levels,mon,AERmon,3784.52,2266
rldcs4co2,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,3782.46,2612
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,day,CFday,3751.02,10393
tnt,Tendency of Air Temperature,subhrPt,CFsubhr,3745.83,868
zfullo,Depth Below Geoid of Ocean Layer,mon,Omon,3715.63,1302
rsdt,TOA Incident Shortwave Radiation,day,CFday,3714.36,15586
vas,Northward Near-Surface Wind,6hr,6hrPlev,3709.62,5092
tnta,Tendency of Air Temperature Due to Advection,subhrPt,CFsubhr,3697.82,911
rsdoabsorb,Net Rate of Absorption of Shortwave Energy in Ocean Layer,mon,Emon,3674.33,1697
tntscpbl,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,subhrPt,CFsubhr,3654.22,855
tslsi,Surface Temperature Where Land or Sea Ice,day,day,3647.32,26263
rsd4co2,Downwelling Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,3617.75,2612
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,mon,Amon,3614.63,307069
snw,Surface Snow Amount,day,day,3577.29,60190
rsdt,TOA Incident Shortwave Radiation,3hr,E3hr,3575.12,6065
tntr,Tendency of Air Temperature Due to Radiative Heating,subhrPt,CFsubhr,3568.68,874
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,mon,Amon,3548.89,311166
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,day,CFday,3491.98,7643
prw,Water Vapor Path,mon,Amon,3445.99,341901
o2,Dissolved Oxygen Concentration,yr,Oyr,3400.53,18986
opottempdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,mon,Emon,3395.72,615
pop,Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mon,Omon,3374.38,2552
va,Northward Wind,mon,Emon,3329.40,18921
tnhus,Tendency of Specific Humidity,subhrPt,CFsubhr,3284.71,846
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,day,CFday,3265.67,8542
rsdcs4co2,Downwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,3264.82,2592
co2,Mole Fraction of CO2,mon,AERmon,3225.93,2291
phypico,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mon,Omon,3195.14,1713
