Name,Description,Canonical Units,is alias,target,Physical parameters,Edited by author teams,Last Modified By,UID
air_equivalent_potential_temperature,"The ""equivalent potential temperature"" is a thermodynamic quantity, with its natural logarithm proportional to the entropy of moist air, that is conserved in a reversible moist adiabatic process. Reference: AMS Glossary http://glossary.ametsoc.org/wiki/Equivalent_potential_temperature. It is the temperature of a parcel of air if all the moisture contained in it were first condensed, releasing latent heat, before moving the parcel dry adiabatically to a standard pressure, typically representative of mean sea level pressure. To specify the standard pressure to which the quantity applies, provide a scalar coordinate variable with standard name reference_pressure. It is strongly recommended that a variable with this standard name should have a units_metadata attribute, with one of the values ""on-scale"" or ""difference"", whichever is appropriate for the data, because it is essential to know whether the temperature is on-scale (meaning relative to the origin of the scale indicated by the units) or refers to temperature differences (implying that the origin of the temperature scale is irrevelant), in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,,,Data Request co-leads,3ba664be-8ca2-11ef-944e-41a8eb05f654
air_equivalent_temperature,"The equivalent temperature is the temperature that an air parcel would have if all water vapor were condensed at contstant pressure and the enthalpy released from the vapor used to heat the air. Reference: AMS Glossary http://glossary.ametsoc.org/wiki/Equivalent_temperature. It is the isobaric equivalent temperature and not the adiabatic equivalent temperature, also known as pseudoequivalent temperature, which has the standard name air_pseudo_equivalent_temperature. It is strongly recommended that a variable with this standard name should have a units_metadata attribute, with one of the values ""on-scale"" or ""difference"", whichever is appropriate for the data, because it is essential to know whether the temperature is on-scale (meaning relative to the origin of the scale indicated by the units) or refers to temperature differences (implying that the origin of the temperature scale is irrevelant), in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,,,Data Request co-leads,3ba664bf-8ca2-11ef-944e-41a8eb05f654
air_potential_temperature,"Air potential temperature is the temperature a parcel of air would have if moved dry adiabatically to a standard pressure, typically representative of mean sea level pressure. To specify the standard pressure to which the quantity applies, provide a scalar coordinate variable with standard name reference_pressure. It is strongly recommended that a variable with this standard name should have a units_metadata attribute, with one of the values ""on-scale"" or ""difference"", whichever is appropriate for the data, because it is essential to know whether the temperature is on-scale (meaning relative to the origin of the scale indicated by the units) or refers to temperature differences (implying that the origin of the temperature scale is irrevelant), in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,,,Data Request co-leads,3ba664c0-8ca2-11ef-944e-41a8eb05f654
air_pressure,Air pressure is the force per unit area which would be exerted when the moving gas molecules of which the air is composed strike a theoretical surface of any orientation.,Pa,,,"pfull,phalf",,Data Request co-leads,3ba664c1-8ca2-11ef-944e-41a8eb05f654
air_pressure_anomaly,"The term ""anomaly"" means difference from climatology. Air pressure is the force per unit area which would be exerted when the moving gas molecules of which the air is composed strike a theoretical surface of any orientation.",Pa,,,,,Data Request co-leads,3ba664c2-8ca2-11ef-944e-41a8eb05f654
air_pressure_at_cloud_base,"The phrase ""cloud_base"" refers to the base of the lowest cloud. Air pressure is the force per unit area which would be exerted when the moving gas molecules of which the air is composed strike a theoretical surface of any orientation.",Pa,,,,,Data Request co-leads,3ba664c3-8ca2-11ef-944e-41a8eb05f654
air_pressure_at_cloud_top,"The phrase ""cloud_top"" refers to the top of the highest cloud. Air pressure is the force per unit area which would be exerted when the moving gas molecules of which the air is composed strike a theoretical surface of any orientation.",Pa,,,pctisccp,,Data Request co-leads,3ba664c4-8ca2-11ef-944e-41a8eb05f654
air_pressure_at_convective_cloud_base,"The phrase ""cloud_base"" refers to the base of the lowest cloud. Convective cloud is that produced by the convection schemes in an atmosphere model. Air pressure is the force per unit area which would be exerted when the moving gas molecules of which the air is composed strike a theoretical surface of any orientation.",Pa,,,ccb,,Data Request co-leads,3ba664c5-8ca2-11ef-944e-41a8eb05f654
air_pressure_at_convective_cloud_top,"The phrase ""cloud_top"" refers to the top of the highest cloud. Convective cloud is that produced by the convection schemes in an atmosphere model. Air pressure is the force per unit area which would be exerted when the moving gas molecules of which the air is composed strike a theoretical surface of any orientation.",Pa,,,cct,,Data Request co-leads,3ba664c6-8ca2-11ef-944e-41a8eb05f654
air_pressure_at_freezing_level,Air pressure is the force per unit area which would be exerted when the moving gas molecules of which the air is composed strike a theoretical surface of any orientation.,Pa,,,,,Data Request co-leads,3ba664c7-8ca2-11ef-944e-41a8eb05f654
air_pressure_at_mean_sea_level,"Air pressure at sea level is the quantity often abbreviated as MSLP or PMSL. Air pressure is the force per unit area which would be exerted when the moving gas molecules of which the air is composed strike a theoretical surface of any orientation. ""Mean sea level"" means the time mean of sea surface elevation at a given location over an arbitrary period sufficient to eliminate the tidal signals.",Pa,,,psl,,Data Request co-leads,3ba664c8-8ca2-11ef-944e-41a8eb05f654
air_pressure_at_sea_level,,,checked,air_pressure_at_mean_sea_level,,,Data Request co-leads,3baa6c9e-8ca2-11ef-944e-41a8eb05f654
air_pressure_at_top_of_atmosphere_model,"""Top of atmosphere model"" means the upper boundary of the top layer of an atmosphere model. Air pressure is the force per unit area which would be exerted when the moving gas molecules of which the air is composed strike a theoretical surface of any orientation.",Pa,,,,,Data Request co-leads,3ba664c9-8ca2-11ef-944e-41a8eb05f654
air_pseudo_equivalent_potential_temperature,"The pseudoequivalent potential temperature is the temperature a parcel of air would have if it is expanded by a pseudoadiabatic (irreversible moist-adiabatic) process to zero pressure and afterwards compressed by a dry-adiabatic process to a standard pressure, typically representative of mean sea level pressure. Reference: AMS Glossary http://glossary.ametsoc.org/wiki/Pseudoequivalent_potential_temperature. A pseudoadiabatic process means that the liquid water that condenses is assumed to be removed as soon as it is formed. Reference: AMS Glossary http:/glossary.ametsoc.org/wiki/Pseudoadiabatic_process. To specify the standard pressure to which the quantity applies, provide a scalar coordinate variable with the standard name reference_pressure. It is strongly recommended that a variable with this standard name should have a units_metadata attribute, with one of the values ""on-scale"" or ""difference"", whichever is appropriate for the data, because it is essential to know whether the temperature is on-scale (meaning relative to the origin of the scale indicated by the units) or refers to temperature differences (implying that the origin of the temperature scale is irrevelant), in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,,,Data Request co-leads,3ba664ca-8ca2-11ef-944e-41a8eb05f654
air_pseudo_equivalent_temperature,"The pseudoequivalent temperature is also known as the adiabatic equivalent temperature. It is the temperature that an air parcel would have after undergoing the following process: dry-adiabatic expansion until saturated; pseudoadiabatic expansion until all moisture is precipitated out; dry-adiabatic compression to the initial pressure. Reference: AMS Glossary http://glossary.ametsoc.org/wiki/Equivalent_temperature. This quantity is distinct from the isobaric equivalent temperature, also known as equivalent temperature, which has the standard name air_equivalent_temperature. It is strongly recommended that a variable with this standard name should have a units_metadata attribute, with one of the values ""on-scale"" or ""difference"", whichever is appropriate for the data, because it is essential to know whether the temperature is on-scale (meaning relative to the origin of the scale indicated by the units) or refers to temperature differences (implying that the origin of the temperature scale is irrevelant), in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,,,Data Request co-leads,3ba664cb-8ca2-11ef-944e-41a8eb05f654
air_temperature,"Air temperature is the bulk temperature of the air, not the surface (skin) temperature. It is strongly recommended that a variable with this standard name should have a units_metadata attribute, with one of the values ""on-scale"" or ""difference"", whichever is appropriate for the data, because it is essential to know whether the temperature is on-scale (meaning relative to the origin of the scale indicated by the units) or refers to temperature differences (implying that the origin of the temperature scale is irrevelant), in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,"ta,ta500,ta700,ta850,tas,tasIs,tasLut,tasmax,tasmaxCrop,tasmin,tasminCrop,taUTLS,taUTLSadd",,Data Request co-leads,3ba664cc-8ca2-11ef-944e-41a8eb05f654
air_temperature_anomaly,"The term ""anomaly"" means difference from climatology. Air temperature is the bulk temperature of the air, not the surface (skin) temperature. It is strongly recommended that a variable with this standard name should have the attribute units_metadata=""temperature: difference"", meaning that it refers to temperature differences and implying that the origin of the temperature scale is irrelevant, because it is essential to know whether a temperature is on-scale or a difference in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,,,Data Request co-leads,3ba664cd-8ca2-11ef-944e-41a8eb05f654
air_temperature_at_cloud_top,"cloud_top refers to the top of the highest cloud. Air temperature is the bulk temperature of the air, not the surface (skin) temperature. It is strongly recommended that a variable with this standard name should have a units_metadata attribute, with one of the values ""on-scale"" or ""difference"", whichever is appropriate for the data, because it is essential to know whether the temperature is on-scale (meaning relative to the origin of the scale indicated by the units) or refers to temperature differences (implying that the origin of the temperature scale is irrevelant), in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,ttop,,Data Request co-leads,3ba664ce-8ca2-11ef-944e-41a8eb05f654
air_temperature_at_effective_cloud_top_defined_by_infrared_radiation,"The ""effective cloud top defined by infrared radiation"" is (approximately) the geometric height above the surface that is one optical depth at infrared wavelengths (in the region of 11 micrometers) below the cloud top that would be detected by visible and lidar techniques. Reference: Minnis, P. et al 2011 CERES Edition-2 Cloud Property Retrievals Using TRMM VIRS and Terra and Aqua MODIS Data x2014; Part I: Algorithms IEEE Transactions on Geoscience and Remote Sensing, 49(11), 4374-4400. doi: http://dx.doi.org/10.1109/TGRS.2011.2144601. It is strongly recommended that a variable with this standard name should have a units_metadata attribute, with one of the values ""on-scale"" or ""difference"", whichever is appropriate for the data, because it is essential to know whether the temperature is on-scale (meaning relative to the origin of the scale indicated by the units) or refers to temperature differences (implying that the origin of the temperature scale is irrevelant), in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,,,Data Request co-leads,3ba664cf-8ca2-11ef-944e-41a8eb05f654
air_temperature_lapse_rate,"Air temperature is the bulk temperature of the air, not the surface (skin) temperature. A lapse rate is the negative derivative of a quantity with respect to increasing height above the surface, or the (positive) derivative with respect to increasing depth. It is strongly recommended that a variable with this standard name should have the attribute units_metadata=""temperature: difference"", meaning that it refers to temperature differences and implying that the origin of the temperature scale is irrelevant, because it is essential to know whether a temperature is on-scale or a difference in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K m-1,,,,,Data Request co-leads,3ba664d0-8ca2-11ef-944e-41a8eb05f654
air_temperature_threshold,"Air temperature is the bulk temperature of the air, not the surface (skin) temperature. Air temperature excess and deficit are calculated relative to the air temperature threshold. It is strongly recommended that a variable with this standard name should have the attribute units_metadata=""temperature: on-scale"", meaning that the temperature is relative to the origin of the scale indicated by the units, because it is essential to know whether a temperature is on-scale or a difference in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,,,Data Request co-leads,3ba664d1-8ca2-11ef-944e-41a8eb05f654
altimeter_range,"An altimeter operates by sending out a short pulse of radiation and measuring the time required for the pulse to return from the sea surface; this measurement is used to calculate the distance between the instrument and the sea surface.  That measurement is called the ""altimeter range"" and does not include any range corrections.",m,,,,,Data Request co-leads,3ba664d2-8ca2-11ef-944e-41a8eb05f654
altimeter_range_correction_due_to_dry_troposphere,"The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.   To apply the altimeter range correction it must be added to the quantity with standard name altimeter_range.  ""Correction_due_to_dry_troposphere"" means a correction for dry gases in the troposphere, i.e. excluding the effect of liquid water.  Additional altimeter range corrections are given by the quantities with standard names altimeter_range_correction_due_to_wet_troposphere, altimeter_range_correction_due_to_ionosphere, sea_surface_height_correction_due_to_air_pressure_at_low_frequency and sea_surface_height_correction_due_to_air_pressure_and_wind_at_high_frequency.",m,,,,,Data Request co-leads,3ba664d3-8ca2-11ef-944e-41a8eb05f654
altimeter_range_correction_due_to_ionosphere,"The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.   To apply the altimeter range correction it must be added to the quantity with standard name altimeter_range.  ""Correction_due_to_ionosphere"" means a correction for the atmosphere's electron content in the ionosphere. Additional altimeter range corrections are given by the quantities with standard names altimeter_range_correction_due_to_wet_troposphere, altimeter_range_correction_due_to_dry_troposphere, sea_surface_height_correction_due_to_air_pressure_at_low_frequency and sea_surface_height_correction_due_to_air_pressure_and_wind_at_high_frequency.",m,,,,,Data Request co-leads,3ba664d4-8ca2-11ef-944e-41a8eb05f654
altimeter_range_correction_due_to_wet_troposphere,"The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.   To apply the altimeter range correction it must be added to the quantity with standard name altimeter_range.  ""Correction_due_to_wet_troposphere"" means a correction for the effect of liquid water in the troposphere.  Additional altimeter range corrections are given by the quantities with standard names altimeter_range_correction_due_to_dry_troposphere, altimeter_range_correction_due_to_ionosphere, sea_surface_height_correction_due_to_air_pressure_at_low_frequency and sea_surface_height_correction_due_to_air_pressure_and_wind_at_high_frequency.",m,,,,,Data Request co-leads,3ba664d5-8ca2-11ef-944e-41a8eb05f654
altitude,"Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.",m,,,,,Data Request co-leads,3ba664d6-8ca2-11ef-944e-41a8eb05f654
altitude_at_top_of_atmosphere_boundary_layer_defined_by_ambient_aerosol_particles_backwards_scattering_by_ranging_instrument,"The altitude at top of atmosphere boundary layer is the elevation above sea level of the top of the (atmosphere) planetary boundary layer. The phrase ""defined_by"" provides the information of the tracer used for identifying the atmospheric boundary layer top. ""Ambient_aerosol"" means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ""Ambient aerosol particles"" are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. ""By ranging instrument"" means that the backscattering is obtained through ranging techniques like lidar and radar.",m,,,,,Data Request co-leads,3ba664d7-8ca2-11ef-944e-41a8eb05f654
altitude_at_top_of_atmosphere_mixed_layer_defined_by_ambient_aerosol_particles_backwards_scattering_by_ranging_instrument,"The altitude at top of atmosphere mixed layer is the elevation above sea level of the top of the (atmosphere) mixed layer or convective boundary layer. The phrase ""defined_by"" provides the information of the tracer used for identifying the atmospheric boundary layer top. ""Ambient_aerosol"" means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ""Ambient aerosol particles"" are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. ""By ranging instrument"" means that the volume backscattering coefficient is obtained through ranging techniques like lidar and radar.",m,,,,,Data Request co-leads,3ba664d8-8ca2-11ef-944e-41a8eb05f654
altitude_at_top_of_atmosphere_model,"Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level. ""Top of atmosphere model"" means the upper boundary of the top layer of an atmosphere model.",m,,,,,Data Request co-leads,3ba664d9-8ca2-11ef-944e-41a8eb05f654
altitude_at_top_of_dry_convection,"Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.",m,,,,,Data Request co-leads,3ba664da-8ca2-11ef-944e-41a8eb05f654
ambient_aerosol_particle_diameter,,,checked,diameter_of_ambient_aerosol_particles,,,Data Request co-leads,3baa6d50-8ca2-11ef-944e-41a8eb05f654
amplitude_of_global_average_sea_level_change,"Global average sea level change is due to change in volume of the water in the ocean, caused by mass and/or density change, or to change in the volume of the ocean basins, caused by tectonics etc. It is sometimes called ""eustatic"", which is a term that also has other definitions. It differs from the change in the global average sea surface height relative to the centre of the Earth by the global average vertical movement of the ocean floor. Zero sea level change is an arbitrary level. Amplitude is the magnitude of a wave modelled by a sinusoidal function. A coordinate variable of harmonic_period should be used to specify the period of the sinusoidal wave. Because global average sea level change quantifies the change in volume of the world ocean, it is not calculated necessarily by considering local changes in mean sea level.",m,,,,,Data Request co-leads,3ba664db-8ca2-11ef-944e-41a8eb05f654
angle_of_emergence,The angle of emergence is that between the direction of a beam of radiation emerging from the surface of a medium and the normal to that surface.,degree,,,,,Data Request co-leads,3ba664dc-8ca2-11ef-944e-41a8eb05f654
angle_of_incidence,The angle of incidence is that between the direction of approach of a beam of radiation toward a surface and the normal to that surface.,degree,,,,,Data Request co-leads,3ba664dd-8ca2-11ef-944e-41a8eb05f654
angle_of_rotation_from_east_to_x,"The quantity with standard name angle_of_rotation_from_east_to_x is the angle, anticlockwise reckoned positive, between due East and (dr/di)jk, where r(i,j,k) is the vector 3D position of the point with coordinate indices (i,j,k).  It could be used for rotating vector fields between model space and latitude-longitude space.",degree,,,,,Data Request co-leads,3ba664de-8ca2-11ef-944e-41a8eb05f654
angle_of_rotation_from_east_to_y,"The quantity with standard name angle_of_rotation_from_east_to_y is the angle, anticlockwise reckoned positive, between due East and (dr/dj)ik, where r(i,j,k) is the vector 3D position of the point with coordinate indices (i,j,k).  It could be used for rotating vector fields between model space and latitude-longitude space.",degree,,,,,Data Request co-leads,3ba664df-8ca2-11ef-944e-41a8eb05f654
angle_of_rotation_from_solar_azimuth_to_platform_azimuth,"An angle of rotation is reckoned positive in the anticlockwise direction. The ""angle_of_rotation_from_solar_azimuth_to_platform_azimuth"" is the angle of rotation between the solar azimuth angle and the platform azimuth angle. Solar azimuth angle is the horizontal angle between the line of sight from the observation point to the sun and a reference direction at the observation point, which is often due north. The angle is measured clockwise, starting from the reference direction. Platform azimuth angle is the horizontal angle between the line of sight from the observation point to the platform and a reference direction at the observation point, which is often due north. The angle is measured clockwise, starting from the reference direction. A ""platform"" is a structure or vehicle that serves as a base for mounting sensors. Platforms include, but are not limited to, satellites, aeroplanes, ships, buoys, instruments, ground stations, and masts.",degree,,,,,Data Request co-leads,3ba664e0-8ca2-11ef-944e-41a8eb05f654
angstrom_exponent_of_ambient_aerosol_in_air,"The ""Angstrom exponent"" appears in the formula relating aerosol optical thickness to the wavelength of incident radiation: T(lambda) = T(lambda0) * [lambda/lambda0] ** (-1 * alpha) where alpha is the Angstrom exponent, lambda is the wavelength of incident radiation, lambda0 is a reference wavelength, T(lambda) and T(lambda0) are the values of aerosol optical thickness at wavelengths lambda and lambda0, respectively. ""Aerosol"" means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. ""Ambient_aerosol"" means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ""Ambient aerosol particles"" are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. To specify the relative humidity and temperature at which the quantity described by the standard name applies, provide scalar coordinate variables with standard names of ""relative_humidity"" and ""air_temperature"".",1,,,,,Data Request co-leads,3ba664e1-8ca2-11ef-944e-41a8eb05f654
angstrom_exponent_of_volume_backwards_scattering_in_air_due_to_ambient_aerosol_particles,"The Angstrom exponent of volume backwards scattering is the Angstrom exponent related only to the aerosol backwards scattering component. It is alpha in the following equation relating volume backwards scattering (back) at the wavelength lambda to volume backwards scattering at a different wavelength lambda0: back(lambda) = back(lambda0) * [lambda/lambda0] ** (-1 * alpha). ""Ambient_aerosol"" means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ""Ambient aerosol particles"" are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.",1,,,,,Data Request co-leads,3ba664e2-8ca2-11ef-944e-41a8eb05f654
apparent_air_temperature,"Air temperature is the bulk temperature of the air, not the surface (skin) temperature. The quantity with standard name apparent_air_temperature is the perceived air temperature derived from either a combination of temperature and wind (which has standard name wind_chill_of_air_temperature) or temperature and humidity (which has standard name heat_index_of_air_temperature) for the hour indicated by the time coordinate variable. When the air temperature falls to 283.15 K or below, wind chill is used for the apparent_air_temperature. When the air temperature rises above 299.817 K, the heat index is used for apparent_air_temperature. For temperatures above 283.15 and below 299.817K, the apparent_air_temperature is the ambient air temperature (which has standard name air_temperature). References: https://digital.weather.gov/staticpages/definitions.php; WMO codes registry entry http://codes.wmo.int/grib2/codeflag/4.2/_0-0-21. It is strongly recommended that a variable with this standard name should have a units_metadata attribute, with one of the values ""on-scale"" or ""difference"", whichever is appropriate for the data, because it is essential to know whether the temperature is on-scale (meaning relative to the origin of the scale indicated by the units) or refers to temperature differences (implying that the origin of the temperature scale is irrevelant), in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",K,,,,,Data Request co-leads,3ba664e3-8ca2-11ef-944e-41a8eb05f654
apparent_oxygen_utilization,"Apparent Oxygen Utilization (AOU) is the difference between measured dissolved oxygen concentration in water, and the equilibrium saturation concentration of dissolved oxygen in water with the same physical and chemical properties. Reference: Broecker, W. S. and T. H. Peng (1982), Tracers in the Sea, Lamont-Doherty Earth Observatory, Palisades, N. Y.",mol kg-1,,,,,Data Request co-leads,3ba664e4-8ca2-11ef-944e-41a8eb05f654
area_fraction,"""Area fraction"" is the fraction of a grid cell's horizontal area that has some characteristic of interest. It is evaluated as the area of interest divided by the grid cell area. It may be expressed as a fraction, a percentage, or any other dimensionless representation of a fraction. To specify which area is quantified by a variable with standard name area_fraction, provide a coordinate variable or scalar coordinate variable with standard name area_type. Alternatively, if one is defined, use a more specific standard name of X_area_fraction for the fraction of horizontal area occupied by X.",1,,,"baresoilFrac,burntFractionAll,c3PftFrac,c4PftFrac,cropFrac,cropFracC3,cropFracC4,fracInLut,fracLut,fracOutLut,grassFrac,grassFracC3,grassFracC4,landCoverFrac,nwdFracLut,pastureFrac,pastureFracC3,pastureFracC4,residualFrac,shrubFrac,simpconc,sirdgconc,treeFrac,treeFracBdlDcd,treeFracBdlEvg,treeFracNdlDcd,treeFracNdlEvg,treeFracPrimDec,treeFracPrimEver,treeFracSecDec,treeFracSecEver,vegFrac,wetlandFrac",,Data Request co-leads,3ba664e5-8ca2-11ef-944e-41a8eb05f654
area_fraction_below_surface,"The quantity with standard name area_fraction_below_surface is the fraction of horizontal area where a given isobaric surface is below the (ground or sea) surface. ""Area fraction"" is the fraction of a grid cell's horizontal area that has some characteristic of interest. It is evaluated as the area of interest divided by the grid cell area. It may be expressed as a fraction, a percentage, or any other dimensionless representation of a fraction. The surface called ""surface"" means the lower boundary of the atmosphere.",1,,,,,Data Request co-leads,3ba664e6-8ca2-11ef-944e-41a8eb05f654
area_fraction_of_day_defined_by_solar_zenith_angle,"""Area fraction"" is the fraction of a grid cell's horizontal area that has some characteristic of interest. It is evaluated as the area of interest divided by the grid cell area. It may be expressed as a fraction, a percentage, or any other dimensionless representation of a fraction. A coordinate variable of solar_zenith_angle indicating the day extent should be specified. Solar zenith angle is the the angle between the line of sight to the sun and the local vertical.",1,,,,,Data Request co-leads,3ba664e7-8ca2-11ef-944e-41a8eb05f654
area_fraction_of_night_defined_by_solar_zenith_angle,"""Area fraction"" is the fraction of a grid cell's horizontal area that has some characteristic of interest. It is evaluated as the area of interest divided by the grid cell area. It may be expressed as a fraction, a percentage, or any other dimensionless representation of a fraction. A coordinate variable of solar_zenith_angle indicating the day extent should be specified. Solar zenith angle is the the angle between the line of sight to the sun and the local vertical.",1,,,,,Data Request co-leads,3ba664e8-8ca2-11ef-944e-41a8eb05f654
